type,name,classification,file,line,declaration_sha256
SpellData,Target_MotivationalSpeech_AI_6,differing declarations,NPC_SPELLS.txt,259,2f9b4ce5071b79fb99d7a8246d6f9fa8cd15d42d199ac3c603dd455f8861b88a
SpellData,Target_MotivationalSpeech_AI_6,differing declarations,NPC_SPELLS.txt,271,7a15e52057777c981ebd29501d93aee54db0a5980773fbdd4862a5d1b9219d3a
SpellData,Target_Regenerate,differing declarations,SPELLS.txt,5974,59f4428dc488d7ce2972af1f133125750f8c0f79888528867174717a410c40ba
SpellData,Target_Regenerate,differing declarations,SPELLS.txt,5982,9118eed5acc801e54ab78448ea7cc4a117626f15eda6f4b6d1032b2a1acf34cd
SpellData,Target_SteelWindStrike_6,differing declarations,NPC_SPELLS.txt,314,c57beb1e8bdf989f39a9e7a6ccd5638193ad0a6c5966fae907513f949bb57b10
SpellData,Target_SteelWindStrike_6,differing declarations,NPC_SPELLS.txt,320,1a9fa311d2460a23f6d92bdba2b63ff77706458bf9b2831c3fabd3027d54ad65
SpellData,Target_SteelWindStrike_6_AI,differing declarations,NPC_SPELLS.txt,326,236c9d81e0b80eaa0956bbe495f3a6e5621cf5b81bf4e30798c34dca7dd1404a
SpellData,Target_SteelWindStrike_6_AI,differing declarations,NPC_SPELLS.txt,336,c0383832749fb416f9304b3477f7bc59a60a8c6f150956d339c61de5931cef38
SpellData,Target_SteelWindStrike_7,differing declarations,NPC_SPELLS.txt,344,73d27afec303ade0683944f920247858c02edf17285cf7c07ea71652d7ab8e5e
SpellData,Target_SteelWindStrike_7,differing declarations,NPC_SPELLS.txt,350,ae08f0593566e50ade2f504267b7a6a425d6376ab89ff7414576c9bb74dd378e
SpellData,Target_SteelWindStrike_7_AI,differing declarations,NPC_SPELLS.txt,356,20c91be58cb029c7ccd3800ae3622a94f14e0bcc2f20e79ca328f5bd334b8056
SpellData,Target_SteelWindStrike_7_AI,differing declarations,NPC_SPELLS.txt,370,0b488f211600b7cbb1a3741f34f0aae4a5ea628ffa326850d0a9d8c7705e6de5
SpellData,Target_SteelWindStrike_AI,differing declarations,NPC_SPELLS.txt,297,8826d8de14d97821fb9e98ff242326f391bcb4ffe1d6c36c712f5f76a1992911
SpellData,Target_SteelWindStrike_AI,differing declarations,NPC_SPELLS.txt,306,092cfcc54f053b152dd3b20ff0c77decc054212f3aacd47911695e0b26092f02
SpellData,Target_Sunburst,differing declarations,NPC_SPELLS.txt,384,fb44da4cd213f58ad87d16b25f2afcecb97b728969c9592dd17590f8a81831f8
SpellData,Target_Sunburst,differing declarations,NPC_SPELLS.txt,392,fb44da4cd213f58ad87d16b25f2afcecb97b728969c9592dd17590f8a81831f8
SpellData,Target_Sunburst,differing declarations,SPELLS.txt,7213,a77f8fa5bbc8cc6a18e2f0bad2d2ff0a4a4d3a6c77ea69a58cbea9e790922ac8
SpellData,Teleportation_DimensionDoor,differing declarations,SPELLS.txt,7629,09ed39b4800c1d80bbc9d15b75b5045eb523861a151e5e018965cf87cb03613e
SpellData,Teleportation_DimensionDoor,differing declarations,SPELLS.txt,7638,382a6fb4c5150a8df618d72c6cec05bcb5aad69fea17a4b153badb571400744d
SpellData,Teleportation_DimensionDoor_7,differing declarations,SPELLS.txt,7656,2f73fddfc0c1a02d25aa3f40eb047add67ce2a46b3fcd84e66d1fcbf14959e9c
SpellData,Teleportation_DimensionDoor_7,differing declarations,SPELLS.txt,7665,dedb68381a70b918bad678ec847b2967d7254dc0788d5f566a7a3262f6dfaaec
SpellData,Teleportation_DimensionDoor_8,differing declarations,SPELLS.txt,7673,c77b9a9fb2511c52d84f63f6ef9d953217f2c452d470102b03d1f791bc9655c3
SpellData,Teleportation_DimensionDoor_8,differing declarations,SPELLS.txt,7682,39b2335e6a2d4cf8fba388f292a5133541eaf0efa9645af87eaed4597754d2c6
SpellData,Teleportation_DimensionDoor_9,differing declarations,SPELLS.txt,7690,f2771622d813cb753ca0222682a3fc35c7c50782cbda570c5e6cd2bb92d9598d
SpellData,Teleportation_DimensionDoor_9,differing declarations,SPELLS.txt,7701,2c540d2dcdf4cbc1d24c9ab862b65ccd4d9e783c278455436b742740c1f32a56
SpellData,Teleportation_MAG_Dolor_DimensionDoor,differing declarations,CahootGear.txt,563,e34f3e75b87b30231cc5b96e2bcf91853932070c5f9b54be75d5e6503235f172
SpellData,Teleportation_MAG_Dolor_DimensionDoor,differing declarations,SPELLS.txt,7711,8616ae08e0ca050bb01b66ebd9c16f2deacfb25a2ed9e2772cd460e2f1ac9f43
SpellData,VV_AssassinMark,differing declarations,GraphicFade_Patches.txt,1037,4e460722a666d75b462b8fe53e76af275146bd49a311475481897ac526f7d040
SpellData,VV_AssassinMark,differing declarations,GraphicFade_Patches.txt,1093,c32629b66578c6fc8d268156bce88d1496173d20b3a4aecbfc3befc5f5b96c39
StatusData,BLESSING_OF_THE_TRICKSTER,differing declarations,BlessingOfTheTricksterBuff.txt,1,2b663193295310bc36661caf93f996622656f50e347b7470f83d4b66024926a6
StatusData,BLESSING_OF_THE_TRICKSTER,differing declarations,STATUSES.txt,105,b344f1343e003455317cdbb069581559b95aad26e3a6a079db9e96ae33bceb40
StatusData,CRUSADERS_MANTLE,differing declarations,RandomCahootFixes.txt,55,50a0afdf60f32d8c9e58ec7faafc476587743803d41de576cbc0ca6c32686527
StatusData,CRUSADERS_MANTLE,differing declarations,STATUSES.txt,262,6279d85df361a57e37222455d7080a84a13e1a45a2536abfc1d07e8ada05a6b5
StatusData,CRUSADERS_MANTLE_AURA,differing declarations,RemoveLogSpam.txt,7,d3a3ae7cfbd49b1bbb3e5a063338cc53e0b7713ea0cc11a0b4860891bf90f04d
StatusData,CRUSADERS_MANTLE_AURA,differing declarations,STATUSES.txt,319,18b69ac4ba05386b377a9410912df5bdf03e0545d346d0e40f51b44cb2be3164
StatusData,HEX_REAPPLY,differing declarations,STATUSES.txt,936,a9870155d3bc2371f519e49dd3e643e239750a8844f93674d3a4619e90eefbcb
StatusData,HEX_REAPPLY,differing declarations,STATUSES.txt,943,154b7670cededc624b28d357ef7b49987d7771c10b08f7279931c1441efe2f76
StatusData,HOLY_WEAPON,differing declarations,STATUSES.txt,963,ddb6d5f311dc351e4b6116dfcff62d267525a0d8368df8df3ada218ec67925cc
StatusData,HOLY_WEAPON,differing declarations,STATUSES.txt,975,80e379a2f7434e43bae92e13ce7af9b023835739451af004af7168caea8ff3a9
StatusData,HOLY_WEAPON,differing declarations,STATUSES.txt,987,afc77b96a041811cf418b47f9b928ff67f8ebe4d2f5ba6d920a23c5a4427d564
StatusData,HOLY_WEAPON_TECHNICAL,differing declarations,STATUSES.txt,994,f34f23d110b91ce69814b4ee32de8edaef05e2fe5aeca732ce50555ea6e82f63
StatusData,HOLY_WEAPON_TECHNICAL,differing declarations,STATUSES.txt,1004,ea31db854515544617102fa807093147c8fde2459f5a6b85e94f70f5d2443178
StatusData,LONGSTRIDER,differing declarations,STATUSES.txt,1043,6c667286da106b2c09f58d06e5afe7f41d81f387e6bae695a1323b36723f1f36
StatusData,LONGSTRIDER,differing declarations,STATUSES.txt,1050,d174cd09c2253a25c0f41f8a2072fadb1005664fe1d3f0a78e51925cc83c1be8
StatusData,MAGIC_WEAPON,differing declarations,STATUSES.txt,1075,c8b6363b65e31fc678052570273f16cdc7e4cafd759a1e889875b1237d96adbf
StatusData,MAGIC_WEAPON,differing declarations,STATUSES.txt,1082,ac844f459bf392c89b8b7128f10b0c1fccf46288738619af4212c2ca31894202
StatusData,SCL_MOONSHIELD,identical declarations,STATUSES.txt,1508,47d5bb3a4b9f189d4eb5bac3aa93a02c84736baf1f71394826cdf2e19de5bac8
StatusData,SCL_MOONSHIELD,identical declarations,STATUSES.txt,1514,47d5bb3a4b9f189d4eb5bac3aa93a02c84736baf1f71394826cdf2e19de5bac8
StatusData,SHIELD_OF_FAITH,differing declarations,STATUSES.txt,1592,570769d9ddde85f58427de8d51608921d3ca44aa01eda10221192f69a44c7a2a
StatusData,SHIELD_OF_FAITH,differing declarations,STATUSES.txt,1599,1c2f12708ed89b6988c0acd3ec8b38b96ebfc7e6fd9e9fb1e65ab4c2f97fe9cb
StatusData,SHIELD_OF_FAITH,differing declarations,STATUSES.txt,1605,1c2f12708ed89b6988c0acd3ec8b38b96ebfc7e6fd9e9fb1e65ab4c2f97fe9cb
StatusData,STONESKIN,differing declarations,STATUSES.txt,1683,1b30a859ca4980057757759547abce1b940fdb4d70dde76e9cc48729afa72e94
StatusData,STONESKIN,differing declarations,STATUSES.txt,1694,aa30bbee100e7b5f44551cc65235cf43df25b3ccc2477292e71ee50132654591
Weapon,MAG_Fire_FireDamage_Quarterstaff,differing declarations,CahootGear.txt,125,c6b1c4a15990b574f9cbc1a67f704b69ad4412c061f6eb35e85325b8c84fa5c4
Weapon,MAG_Fire_FireDamage_Quarterstaff,differing declarations,stolenDIQMiscPatches.txt,145,b4bef9829be72cc0ef8fbc283d7a27bf956739918256b6e71431ff1a244333c9
Weapon,WPN_Scimitar_FlameBlade,differing declarations,WEAPONS.txt,6,bbcfbd741b9151bd5b4ea697b06f546a82f6e07ef85fd63292ce4db7f0bfe214
Weapon,WPN_Scimitar_FlameBlade,differing declarations,stolenDIQMiscPatches.txt,150,9fa5e7b905fd47b4e8bce9f4f7217dff7cb494e4cd578f6480a1f080f46a2578
